Date,Open,High,Low,Close,Adj Close,Volume
2014-11-18,187.479996,188.820007,187.479996,188.509995,165.695435,1252600
2014-11-19,188.250000,188.479996,187.369995,188.169998,165.396591,1880800
2014-11-20,187.289993,188.639999,187.289993,188.509995,165.695435,866800
2014-11-21,190.429993,190.479996,188.949997,189.570007,166.627197,1586200
2014-11-24,190.020004,190.210007,189.770004,190.059998,167.057877,1365900
2014-11-25,190.339996,190.559998,189.660004,190.000000,167.005127,1736700
2014-11-26,190.100006,190.520004,189.880005,190.440002,167.391876,824400
2014-11-28,190.300003,190.630005,189.759995,190.029999,167.031525,430200
2014-12-01,189.289993,189.389999,188.360001,188.729996,165.888824,2083600
2014-12-02,188.710007,190.130005,188.710007,189.919998,166.934769,1446800
2014-12-03,190.100006,190.880005,189.970001,190.649994,167.576477,2240100
2014-12-04,190.350006,190.990005,189.570007,190.460007,167.409454,1573000
2014-12-05,190.649994,191.190002,190.350006,190.800003,167.708282,2215900
2014-12-08,190.350006,190.830002,188.850006,189.500000,166.565643,1527800
2014-12-09,187.429993,189.470001,186.979996,189.350006,166.433777,1763100
2014-12-10,188.860001,188.860001,186.100006,186.380005,163.823257,1749800
2014-12-11,186.979996,189.070007,186.809998,187.250000,164.587967,1972600
2014-12-12,186.000000,186.899994,184.169998,184.210007,161.915848,2614400
2014-12-15,185.259995,185.720001,182.270004,182.929993,160.790787,2801400
2014-12-16,182.100006,185.539993,181.440002,181.520004,159.551422,3837500
2014-12-17,181.970001,185.550003,181.839996,185.179993,162.768463,5588600
2014-12-18,186.740005,188.580002,186.000000,188.550003,165.730621,3820200
2014-12-19,189.289993,190.130005,188.589996,189.419998,166.495361,1800800
2014-12-22,189.570007,190.259995,189.339996,190.259995,167.233643,3005800
2014-12-23,190.940002,190.970001,190.300003,190.550003,167.488571,1926800
2014-12-24,190.809998,191.050003,190.500000,190.529999,167.471008,952700
2014-12-26,191.059998,191.520004,190.990005,191.149994,168.015945,650300
2014-12-29,190.970001,191.630005,190.899994,191.419998,168.253281,878600
2014-12-30,190.949997,191.089996,190.300003,190.380005,167.339172,3224500
2014-12-31,190.750000,190.910004,188.380005,188.399994,165.598801,1366000
2015-01-02,189.289993,189.720001,187.259995,188.399994,165.598801,1865000
2015-01-05,187.259995,187.410004,184.660004,185.089996,162.689362,2734700
2015-01-06,185.369995,185.880005,182.360001,183.270004,161.089630,2245300
2015-01-07,184.729996,185.910004,184.229996,185.559998,163.102478,2305600
2015-01-08,187.130005,189.050003,187.070007,188.820007,165.967911,1740600
2015-01-09,189.300003,189.339996,186.649994,187.229996,164.570374,2525200
2015-01-12,187.460007,187.600006,185.190002,185.839996,163.348618,1847500
2015-01-13,187.220001,188.410004,183.899994,185.350006,162.917908,2158500
2015-01-14,183.100006,184.399994,182.110001,184.259995,161.959808,5216300
2015-01-15,184.880005,185.250000,182.399994,182.539993,160.447998,1940700
2015-01-16,182.309998,185.080002,182.089996,184.800003,162.434418,1472800
2015-01-20,185.619995,185.899994,183.580002,185.259995,162.838776,1637600
2015-01-21,184.770004,186.740005,184.300003,186.229996,163.691376,1586500
2015-01-22,187.089996,189.149994,185.600006,189.080002,166.196442,6074900
2015-01-23,188.720001,189.020004,187.789993,188.039993,165.282349,3109800
2015-01-26,187.789993,188.509995,186.929993,188.410004,165.607590,2018000
2015-01-27,186.139999,187.179993,185.020004,185.940002,163.436508,1979100
2015-01-28,187.270004,187.320007,183.350006,183.490005,161.283035,2530800
2015-01-29,183.740005,185.529999,182.210007,185.270004,162.847565,4338200
2015-01-30,183.960007,185.380005,182.630005,182.990005,160.843521,2302500
2015-02-02,183.500000,185.259995,181.470001,185.089996,162.689362,3397800
2015-02-03,186.130005,187.860001,185.789993,187.789993,165.062576,1435000
2015-02-04,187.029999,188.350006,186.649994,187.149994,164.500046,1861200
2015-02-05,187.889999,189.190002,187.850006,189.050003,166.170090,1033800
2015-02-06,189.490005,190.050003,187.940002,188.520004,165.704269,1454700
2015-02-09,187.809998,188.589996,187.220001,187.660004,164.948349,2289300
2015-02-10,188.820007,189.929993,187.850006,189.660004,166.706238,1798000
2015-02-11,189.509995,190.229996,188.779999,189.789993,166.820511,1744400
2015-02-12,190.699997,191.649994,190.470001,191.550003,168.367538,2008500
2015-02-13,191.720001,192.440002,191.460007,192.389999,169.105881,1073100
2015-02-17,192.070007,192.880005,191.789993,192.699997,169.378357,1700400
2015-02-18,192.279999,192.779999,192.000000,192.740005,169.413498,1863000
2015-02-19,192.089996,192.970001,191.889999,192.610001,169.299240,1017600
2015-02-20,192.130005,193.820007,191.449997,193.779999,170.327637,1374000
2015-02-23,193.490005,193.729996,193.029999,193.729996,170.283707,1497700
2015-02-24,193.690002,194.490005,193.429993,194.300003,170.784698,1244200
2015-02-25,194.139999,194.649994,193.710007,194.089996,170.600113,1983600
2015-02-26,193.990005,194.149994,193.210007,193.869995,170.406738,994200
2015-02-27,193.770004,194.050003,193.190002,193.199997,169.817825,966600
2015-03-02,193.309998,194.470001,193.300003,194.470001,170.934174,1016600
2015-03-03,193.960007,194.020004,192.690002,193.639999,170.204605,1388100
2015-03-04,193.000000,193.050003,191.729996,192.830002,169.492615,1497500
2015-03-05,193.149994,193.330002,192.479996,193.039993,169.677216,1135800
2015-03-06,192.000000,192.550003,189.940002,190.309998,167.277603,1815600
2015-03-09,190.520004,191.470001,190.419998,191.119995,167.989548,1132000
2015-03-10,189.570007,189.630005,187.970001,187.979996,165.229599,2390500
2015-03-11,188.259995,188.470001,187.470001,187.539993,164.842850,1857500
2015-03-12,188.210007,190.000000,188.199997,189.960007,166.969986,2646900
2015-03-13,189.679993,189.789993,187.619995,188.800003,165.950363,1792200
2015-03-16,189.589996,191.380005,189.550003,191.380005,168.218094,1054700
2015-03-17,190.479996,191.130005,189.830002,190.729996,167.646759,1460900
2015-03-18,190.169998,193.759995,189.490005,193.000000,169.642029,2287400
2015-03-19,192.559998,192.850006,191.750000,192.110001,168.859741,1372000
2015-03-20,193.190002,194.389999,193.130005,193.850006,170.389160,1350100
2015-03-23,192.850006,193.490005,192.490005,192.520004,170.083542,707100
2015-03-24,192.380005,192.850006,191.330002,191.399994,169.094025,1587700
2015-03-25,191.639999,191.869995,188.570007,188.610001,166.629181,1216700
2015-03-26,187.880005,189.149994,187.149994,188.139999,166.213943,1906200
2015-03-27,188.039993,188.779999,187.830002,188.529999,166.558533,1837000
2015-03-30,189.750000,191.190002,189.720001,190.880005,168.634628,1414700
2015-03-31,189.979996,191.779999,189.169998,189.199997,167.150452,2765200
2015-04-01,189.169998,189.169998,187.470001,188.589996,166.611526,3379900
2015-04-02,188.470001,189.690002,188.270004,189.149994,167.106277,1803500
2015-04-06,188.229996,191.039993,188.089996,190.479996,168.281265,1242500
2015-04-07,190.479996,191.330002,189.970001,189.970001,167.830673,1372300
2015-04-08,190.240005,191.059998,189.809998,190.660004,168.440308,1412100
2015-04-09,190.449997,191.710007,189.960007,191.490005,169.173538,794800
2015-04-10,191.740005,192.570007,191.539993,192.539993,170.101196,1056900
2015-04-13,192.360001,193.039993,191.600006,191.669998,169.332550,1227800
2015-04-14,191.419998,192.220001,190.770004,192.020004,169.641769,2647800
2015-04-15,192.539993,193.419998,192.449997,192.899994,170.419250,934900
2015-04-16,192.550003,193.369995,192.300003,192.830002,170.357361,823300
2015-04-17,191.529999,191.770004,189.750000,190.589996,168.378418,2059300
2015-04-20,191.669998,192.699997,191.550003,192.330002,169.915619,1430300
2015-04-21,193.110001,193.259995,191.800003,192.139999,169.747772,1089500
2015-04-22,192.490005,193.279999,191.500000,193.089996,170.587067,1125400
2015-04-23,192.649994,194.259995,192.500000,193.589996,171.028793,956400
2015-04-24,194.020004,194.289993,193.520004,193.979996,171.373367,978300
2015-04-27,194.630005,194.740005,193.000000,193.210007,170.693100,898200
2015-04-28,193.169998,193.850006,191.940002,193.809998,171.223175,1103800
2015-04-29,192.809998,193.660004,192.139999,193.020004,170.525223,1408900
2015-04-30,192.399994,192.800003,190.320007,191.100006,168.829041,2506100
2015-05-01,191.960007,193.179993,191.850006,193.100006,170.595901,1921200
2015-05-04,193.639999,194.309998,193.500000,193.699997,171.125977,1060000
2015-05-05,193.399994,193.800003,191.330002,191.440002,169.129349,1138300
2015-05-06,192.089996,192.389999,189.529999,190.669998,168.449081,1588100
2015-05-07,190.589996,191.899994,190.240005,191.440002,169.129349,1320700
2015-05-08,193.300003,194.179993,193.229996,193.949997,171.346848,1322900
2015-05-11,193.929993,194.199997,192.960007,193.020004,170.525223,1090100
2015-05-12,192.149994,193.070007,191.229996,192.460007,170.030472,1852700
2015-05-13,192.960007,193.610001,192.259995,192.520004,170.083542,589000
2015-05-14,193.639999,194.600006,193.330002,194.529999,171.859268,902300
2015-05-15,194.679993,194.880005,194.220001,194.729996,172.035919,719000
2015-05-18,194.630005,195.619995,194.479996,195.330002,172.566025,984500
2015-05-19,195.440002,195.770004,194.960007,195.229996,172.477692,980400
2015-05-20,195.369995,195.949997,194.800003,195.100006,172.362793,3401300
2015-05-21,195.050003,195.929993,194.830002,195.690002,172.884048,756200
2015-05-22,195.309998,195.750000,195.190002,195.259995,172.504181,831600
2015-05-26,194.729996,194.770004,192.699997,193.160004,170.648941,1235300
2015-05-27,193.660004,195.240005,193.300003,194.940002,172.221481,1420100
2015-05-28,194.660004,194.869995,194.000000,194.759995,172.062485,1114500
2015-05-29,194.669998,194.720001,193.250000,193.490005,170.940491,1530900
2015-06-01,194.229996,194.639999,193.089996,193.940002,171.338013,1157400
2015-06-02,193.429993,194.500000,192.750000,193.740005,171.161362,1094400
2015-06-03,194.309998,194.929993,193.740005,194.270004,171.629547,1213800
2015-06-04,193.520004,194.130005,192.279999,192.690002,170.233688,1383400
2015-06-05,192.479996,193.020004,191.580002,192.300003,169.889175,1567800
2015-06-08,192.169998,192.320007,191.020004,191.110001,168.837830,1130100
2015-06-09,191.100006,191.649994,190.369995,191.059998,168.793610,1466100
2015-06-10,191.960007,193.779999,191.880005,193.330002,170.799118,1247700
2015-06-11,193.949997,194.369995,193.630005,193.929993,171.329147,724700
2015-06-12,193.009995,193.220001,192.210007,192.509995,170.074707,2147700
2015-06-15,191.220001,191.970001,190.470001,191.619995,169.288376,1392600
2015-06-16,191.500000,192.809998,191.339996,192.740005,170.277878,819800
2015-06-17,193.059998,193.690002,191.949997,193.070007,170.569443,1170600
2015-06-18,193.610001,195.529999,193.600006,194.979996,172.256851,1041600
